AccountID,AccountNumber,OpenDate,AccountType,BranchID,AccountBalance,Status
4404,10033114,2023-08-13,Current Account,1,53676,Active
810,10070858,2022-09-22,Recurring Deposit,8,464333,Closed
1950,10073117,2022-09-20,Fixed Deposit,8,841665,Closed
4060,10076576,2021-07-20,Fixed Deposit,8,584593,Active
1980,10084808,2022-12-14,Recurring Deposit,10,988895,Active
1750,10110122,2022-08-05,Savings Account,10,638195,Active
1596,10128848,2024-06-18,Current Account,3,128665,Active
66,10147286,2023-12-12,Current Account,9,871714,Closed
3183,10151477,2020-05-02,Fixed Deposit,1,758984,Active
915,10159801,2024-06-22,Recurring Deposit,1,575707,Closed
146,10163632,2023-03-16,Recurring Deposit,7,481363,Closed
2591,10164070,2021-03-15,Savings Account,6,415392,Closed
624,10191149,2021-11-26,Current Account,9,553159,Closed
4886,10197662,2021-12-12,Savings Account,5,315874,Closed
3041,10199996,2022-09-18,Fixed Deposit,1,7841,Closed
1429,10202363,2022-01-28,Current Account,1,308225,Closed
1702,10256489,2022-11-05,Recurring Deposit,9,692569,Closed
3044,10265528,2020-02-28,Current Account,9,851216,Active
4839,10267329,2022-12-17,Savings Account,6,647363,Active
1678,10286011,2020-06-03,Savings Account,1,728800,Active
4946,10292894,2024-10-11,Fixed Deposit,2,673378,Closed
1124,10310959,2021-05-09,Current Account,4,542385,Closed
3410,10338423,2020-05-18,Fixed Deposit,3,27908,Closed
3070,10355692,2022-12-10,Savings Account,2,240431,Closed
4065,10374362,2024-03-06,Fixed Deposit,4,248594,Closed
211,10387330,2022-06-02,Fixed Deposit,3,241590,Active
3690,10421479,2021-06-19,Savings Account,10,140347,Closed
4590,10431228,2022-03-17,Savings Account,3,85135,Active
2110,10446180,2023-01-18,Current Account,4,177998,Active
3060,10450795,2021-06-26,Current Account,5,940286,Closed
537,10457051,2020-07-23,Recurring Deposit,7,669599,Active
3535,10464811,2024-04-03,Current Account,9,680431,Closed
2629,10482349,2021-03-29,Savings Account,5,556863,Active
3324,10509134,2021-08-05,Recurring Deposit,5,684864,Closed
1874,10516367,2024-04-27,Current Account,1,364347,Closed
1691,10516583,2021-01-20,Fixed Deposit,5,461079,Closed
3457,10562544,2021-01-01,Recurring Deposit,6,439144,Closed
91,10573904,2023-01-18,Savings Account,9,472069,Closed
3633,10592144,2021-04-16,Fixed Deposit,7,215481,Closed
4229,10605250,2020-04-20,Recurring Deposit,3,100699,Closed
2557,10628942,2021-08-31,Current Account,6,846902,Closed
