CustomerID,FirstName,LastName,DOB,CustomerAccountNumber,CustomerType,CreditScore,AnnualIncome,Occupation
1007,Colleen,Maldonado,27-07-1962,10076576,Individual,658,44046,Salaried
1011,Calvin,Howell,14-06-1966,10110122,Business,532,252561,Salaried
1032,James,Gonzalez,24-06-1993,10310959,Individual,517,425141,Unemployed
1033,Kimberly,Ramirez,08-08-1988,10338423,Business,500,409216,Retired
1048,Jacob,Bentley,14-11-1977,10482349,Individual,303,166726,Retired
1051,Joshua,Key,10-05-1959,10516367,Individual,574,440373,Unemployed
1063,Margaret,Morgan,03-03-1958,10628942,Individual,666,392481,Salaried
1109,John,Navarro,15-09-1962,11070533,Individual,664,311567,Salaried
1111,Penny,Harris,10-07-1957,11110324,Individual,645,305551,Salaried
1116,Marc,Wang,05-06-1960,11157338,Business,625,398154,Retired
1141,Elijah,Ross,05-05-1999,11400593,Business,759,281284,Salaried
1148,Marcus,Brown,06-03-1965,11488873,Business,586,33050,Retired
1156,Anthony,George,24-10-1985,11576195,Business,555,379328,Retired
1167,Travis,Mccullough,21-12-1972,11671866,Business,594,271668,Self-Employed
1175,Paul,Brown,07-03-1959,11750973,Business,534,347531,Self-Employed
1199,Rachel,Gibson,29-10-1987,11990453,Business,360,250494,Unemployed
1201,Holly,Clayton,26-03-1996,12019270,Business,675,165344,Salaried
1217,Kevin,Little,18-05-1982,12179926,Business,579,107856,Retired
1240,Robert,Russell,15-08-1997,12402352,Business,434,32676,Self-Employed
1247,Heidi,Luna,03-07-1964,12485938,Business,512,249193,Unemployed
1249,Thomas,Dodson,22-07-1984,12512095,Individual,584,160213,Salaried
1265,James,Stewart,15-11-1972,12655477,Business,611,421922,Retired
1274,Tara,Bright,06-04-1981,12742587,Individual,673,173485,Retired
1343,Steven,Oconnell,07-01-2002,13409042,Business,725,32865,Retired
1351,Kevin,Cohen,20-10-1984,13550019,Individual,722,250215,Self-Employed
1366,Derek,Gonzales,30-09-1979,13666354,Individual,682,35295,Retired
1374,Luis,Shaw,23-06-2000,13751973,Individual,844,355353,Retired
1387,David,Castro,17-12-1985,13800827,Individual,776,442230,Salaried
1388,Mandy,Gardner,24-01-1960,13891393,Individual,463,425005,Retired
1398,Megan,Cole,27-10-1987,13984241,Individual,817,64280,Salaried
1399,Melissa,Bender,13-03-1975,13991574,Business,704,392000,Salaried
1401,Steven,Cardenas,15-09-1954,14024877,Business,461,358042,Self-Employed
1402,Teresa,Nguyen,30-09-1965,14029896,Individual,609,467101,Salaried
1404,Arthur,Tapia,03-02-1983,14052129,Individual,488,171593,Salaried
1416,Gregory,Hawkins,26-06-1961,14172537,Business,329,139589,Unemployed
1422,Jessica,Andrews,03-04-1991,14220539,Individual,420,447052,Retired
1425,Todd,Stout,02-08-1968,14255661,Individual,399,106471,Unemployed
1431,Jason,Weeks,02-04-2006,14384831,Individual,539,87801,Retired
1441,Michael,Martinez,15-04-1987,14415512,Business,549,292557,Self-Employed
1492,Debbie,Berry,17-02-1999,14922900,Business,742,467064,Unemployed
1496,Ashley,Lopez,17-07-1967,14956822,Business,677,169269,Retired
1498,Joy,Taylor,23-10-2005,14973489,Individual,318,94745,Retired
1500,Jennifer,Turner,15-07-1961,15005295,Individual,741,328934,Retired
1520,Kayla,Harris,13-12-1993,15245835,Individual,657,52399,Salaried
1524,Cody,Erickson,13-06-1980,15244248,Business,323,271946,Retired
1526,Gina,Beltran,18-10-1996,15273520,Business,350,416807,Salaried
1535,Sarah,Bailey,28-11-1978,15537346,Business,404,288619,Self-Employed
1536,Claudia,Ward,15-04-1996,15560483,Business,705,204865,Retired
1540,Katie,Turner,17-12-1977,15562968,Individual,581,345650,Retired
1541,Debra,Montoya,29-11-1974,15564994,Business,679,470000,Self-Employed
1557,Jason,Rose,25-04-1990,15632263,Individual,568,60757,Unemployed
1566,Christopher,Perez,09-01-1995,15759381,Individual,568,85148,Self-Employed
1587,Carlos,James,07-03-1955,15807045,Business,539,88961,Unemployed
1601,Emily,Reeves,27-03-1994,16044217,Individual,765,298100,Self-Employed
1606,Charlotte,Chambers,06-12-1986,16103166,Individual,511,345150,Self-Employed
1608,Richard,Benitez,11-06-1967,16115184,Individual,751,327984,Self-Employed
1610,Jeffrey,Marshall,01-08-1971,16118607,Individual,822,194832,Unemployed
1625,Jessica,Castillo,06-02-1999,16227011,Individual,362,82697,Salaried
