DepositID,AccountNumber,DepositAmount,DepositType,BranchID,DepositTerm,InterestRate,MaturityDate
1,14288027,201891,Savings Account,9,12,4.68,
2,86680961,505368,Savings Account,4,6,7.19,2023-06-21
3,15346404,256334,Current Account,1,12,7.39,
4,96322270,132277,Savings Account,4,12,5.65,
5,66606976,174477,Recurring Deposit,5,24,6.89,2020-02-27
6,16227011,508191,Savings Account,5,12,5.11,2020-10-06
7,57804260,73302,Savings Account,4,12,3.55,2021-04-30
8,42787417,540136,Recurring Deposit,9,,7.05,
9,10754115,547050,Savings Account,3,24,4.93,2021-11-23
10,95524438,494362,Fixed Deposit,1,,3.47,2023-11-25
11,82613651,897443,Fixed Deposit,4,6,3.62,
12,84596315,949991,Recurring Deposit,5,36,6.61,2023-02-05
13,65566748,732824,Savings Account,7,12,6.39,
14,78509660,725179,Savings Account,8,36,3.77,2022-02-11
15,43994245,273306,Current Account,5,,5.29,2020-01-28
16,42611649,537645,Current Account,7,24,7.3,2021-07-21
17,11871598,170007,Fixed Deposit,8,6,5.04,2024-09-08
18,30329530,911007,Recurring Deposit,3,12,3.63,2022-04-07
19,25656264,970223,Current Account,3,12,5.58,2023-11-03
20,21863001,140053,Savings Account,7,,3.85,
21,61543109,370037,Savings Account,9,,3.16,
22,62691474,504671,Current Account,3,,2.85,
23,69602309,824540,Savings Account,6,,5.23,2023-06-12
24,39520390,974354,Fixed Deposit,6,24,6.76,
25,28264493,478301,Fixed Deposit,8,6,4.38,2020-07-01
26,92713862,296379,Fixed Deposit,7,6,4.84,2022-02-15
27,10871774,124302,Current Account,1,12,6.01,2023-03-16
28,47794354,40953,Fixed Deposit,4,36,3.47,
29,54897404,572532,Recurring Deposit,3,,4.67,
30,71275566,132018,Fixed Deposit,6,24,3.5,2023-10-26
31,54839860,700253,Current Account,8,6,2.78,
32,85507244,507397,Fixed Deposit,5,12,5.43,2020-01-03
33,84689957,478857,Savings Account,2,36,3.75,2021-02-13
34,82884303,501769,Current Account,1,12,5.13,2022-07-01
35,70552007,422349,Current Account,8,24,5.51,2022-01-22
36,53389587,514045,Savings Account,7,6,7.29,2023-03-12
37,85912695,591855,Recurring Deposit,7,24,6.46,
38,34973630,445458,Current Account,9,12,6.18,2022-09-15
39,21774497,990611,Recurring Deposit,7,12,4.62,2021-02-17
40,32950147,495424,Recurring Deposit,5,12,3.27,
41,89647361,157685,Current Account,10,12,2.69,2022-08-15
42,89671199,143910,Fixed Deposit,6,12,7.34,
43,66840903,343132,Fixed Deposit,10,24,3.53,2020-05-10
44,51833635,453829,Fixed Deposit,10,24,4.56,
45,32479737,222325,Current Account,5,,5.61,2022-12-29
46,63048394,934840,Fixed Deposit,7,24,3.56,2023-01-07
47,16231220,865278,Fixed Deposit,4,24,3.51,
48,40996935,15429,Recurring Deposit,1,36,7.27,2021-11-21
49,42248411,393671,Fixed Deposit,9,6,4.81,2023-08-13
50,66248001,390416,Recurring Deposit,8,12,5.01,2022-03-05
51,34049258,388343,Fixed Deposit,8,,3.15,
52,11137010,319607,Current Account,5,,4.67,2024-04-06
53,28987151,334729,Current Account,4,12,3.92,
54,71414425,328628,Recurring Deposit,9,6,6.62,
55,59666464,822788,Fixed Deposit,9,6,4.3,2020-09-02
56,57475913,412457,Savings Account,7,,6.84,2024-07-13
57,79881903,98994,Recurring Deposit,3,6,3.18,
58,35036788,927547,Current Account,2,6,4.3,
59,20433775,345646,Savings Account,9,12,5.11,2023-09-27
60,44337526,177207,Recurring Deposit,9,36,4.01,2023-02-14
61,72001039,752856,Fixed Deposit,5,6,6.38,2022-05-14
62,72192105,921840,Savings Account,9,12,5.32,
63,13310360,484411,Recurring Deposit,8,12,5.13,
64,89971987,177453,Fixed Deposit,4,,5.47,2020-02-20
65,26922485,903742,Recurring Deposit,4,6,6.98,
66,10147286,119780,Current Account,9,36,4.25,
67,69715838,970831,Fixed Deposit,8,36,2.89,
68,25372552,334007,Current Account,1,,7.45,
69,22191547,707118,Savings Account,5,36,6.77,
70,56204754,917409,Fixed Deposit,7,36,4.26,2022-01-25
71,31757048,491064,Recurring Deposit,2,12,5.78,
72,40286199,668348,Recurring Deposit,2,24,6.95,2023-05-28
73,83917832,629852,Savings Account,5,12,3.55,2022-04-25
74,10821305,390795,Savings Account,6,,7.02,
75,34284355,297589,Fixed Deposit,10,,4.4,
76,35373207,207085,Recurring Deposit,9,24,2.78,
77,67908115,638050,Recurring Deposit,7,6,3.7,2024-05-03
78,32581930,495152,Recurring Deposit,3,6,5.76,
79,23284153,911280,Recurring Deposit,3,24,6.42,
80,96843557,877147,Recurring Deposit,1,12,5.71,
81,91603629,247433,Current Account,3,6,7.03,
82,98617690,561670,Fixed Deposit,2,,2.51,
83,32940063,902293,Recurring Deposit,10,,4.87,2024-08-25
84,19063074,775245,Current Account,8,12,6.38,2021-04-01
85,57321364,359430,Fixed Deposit,9,,5.67,
86,80388195,188148,Fixed Deposit,2,12,2.56,
87,26709159,218578,Current Account,7,24,4.74,2021-01-04
88,80095741,244918,Recurring Deposit,1,24,3.7,2022-12-30
89,86886722,383190,Current Account,7,36,3.81,2023-11-04
90,75610054,388208,Savings Account,8,6,5.04,2024-03-28
91,10573904,181482,Savings Account,9,12,3.76,2022-02-11
92,59129335,366030,Current Account,9,12,5.83,2024-05-27
93,85905949,488296,Current Account,7,,2.58,
94,22678654,340104,Fixed Deposit,1,36,3.81,
95,68214906,944510,Recurring Deposit,4,36,3.93,2023-02-21
96,24282914,131645,Savings Account,1,24,7.26,
97,25041051,572938,Current Account,10,12,5.76,2022-05-08
98,77529353,949108,Recurring Deposit,5,24,6.11,
99,68590128,844907,Recurring Deposit,8,12,3.15,
100,38378459,95823,Recurring Deposit,7,,6.21,
101,81877693,642194,Recurring Deposit,5,24,3.25,2023-05-27
102,59852273,707113,Savings Account,2,12,6.18,2023-07-01
103,54602664,482679,Savings Account,8,24,6.64,
104,83851704,536681,Recurring Deposit,5,24,3.59,2021-04-18
105,83900430,901647,Current Account,7,36,6.35,
106,20945862,875909,Recurring Deposit,4,24,6.5,
107,88992670,972807,Current Account,1,6,6.76,2021-09-05
108,52003082,677460,Fixed Deposit,1,12,5.11,
109,86366538,976223,Recurring Deposit,8,,6.3,
110,72243471,351539,Current Account,1,,4.6,
111,73142083,717831,Fixed Deposit,10,,3.8,2021-01-30
112,32478703,473047,Current Account,9,6,6.53,2021-12-18
113,22642823,999153,Fixed Deposit,10,,4.51,
114,61233557,784411,Fixed Deposit,1,6,5.31,2023-08-22
115,84626797,895038,Current Account,7,12,3.49,2020-04-29
116,79358894,577682,Savings Account,8,24,4.99,2023-03-30
117,15966926,30290,Recurring Deposit,8,6,2.9,
118,16757047,590290,Current Account,6,12,7.21,
119,55589651,35972,Fixed Deposit,7,12,3.46,
120,41720102,747095,Fixed Deposit,3,24,6.02,2023-06-06
121,74256765,234279,Fixed Deposit,6,24,5.1,
122,81803531,659180,Fixed Deposit,3,,4.06,
123,91050580,910703,Savings Account,4,36,7.04,2023-12-11
124,38983946,702635,Recurring Deposit,3,6,5.18,
125,19015235,501204,Recurring Deposit,3,36,2.75,2024-07-01
126,83482715,528257,Current Account,4,36,5.77,
127,60390396,289459,Current Account,8,,6.57,2023-06-20
128,91692490,393333,Fixed Deposit,1,,6.1,
129,30746464,814718,Fixed Deposit,3,36,5.96,
130,78252441,343622,Savings Account,8,24,2.64,
131,88099210,563945,Fixed Deposit,5,6,3.44,2022-05-31
132,74369730,224289,Current Account,9,36,5.05,
133,33136216,471690,Savings Account,1,12,2.54,2020-08-16
134,78325483,38961,Current Account,7,6,3.34,2021-02-05
